Sample,Pitch,P_Anteil,I_Anteil,D_Anteil,PWM
227,-1.54,23.1,0,-44.5,-80
228,-1.13,16.9,0,-41.3,-80
229,-0.66,9.9,0,-46.8,-80
230,-0.23,3.4,0,-42.9,-80
231,0.24,-3.6,0,-47,-80
232,0.58,-8.7,0,-33.5,-80
233,1.11,-16.6,0,-52.8,-80
234,1.06,-15.8,0,5,-50
235,1,-15,0,5.8,-50
236,0.85,-12.7,0,15,80
237,0.72,-10.9,0,12.3,80
238,0.44,-6.5,0,29,80
239,0.3,-4.5,0,13.5,80
240,0.21,-3.1,0,9.1,80
241,0.07,-1.1,0,13.7,80
242,0.14,-2.1,0,-6.5,-80
243,0.5,-7.5,0,-36,-80
244,0.81,-12.2,0,-31.6,-80
245,1.17,-17.6,0,-35.8,-80
246,1.59,-23.8,0,-41.9,-80
247,1.99,-29.9,0,-40.2,-80
248,2.8,-42,0,-81.1,-123
249,3.05,-45.7,0,-24.7,-80
250,3.13,-46.9,0,-7.7,-80
251,3.14,-47.1,0,-1.6,-80
252,2.85,-42.7,0,29.2,-80
253,2.74,-41.1,0,10.8,-80
254,2.51,-37.6,0,23.2,-80
255,2.3,-34.5,0,20.7,-80
256,2,-30.1,0,29.9,0
257,1.7,-25.5,0,30.2,80
258,1.28,-19.1,0,42.7,80
259,0.76,-11.4,0,51.3,80
260,0.28,-4.2,0,48.5,80
261,-0.19,2.8,0,46.6,80
262,-0.38,5.8,0,19.5,80
263,-0.41,6.2,0,2.9,80
264,-0.67,10.1,0,25.8,50
265,-0.59,8.8,0,-8.2,0
266,-0.17,2.5,0,-42.3,-80
267,0.27,-4.1,0,-43.9,-80
268,0.71,-10.6,0,-43.3,-80
269,1.04,-15.6,0,-33.3,-80
270,1.33,-19.9,0,-28.9,-80
271,1.52,-22.8,0,-19.4,-80
272,1.94,-29,0,-41.4,-80
273,1.72,-25.8,0,21.7,-50
274,1.31,-19.7,0,40.8,80
275,0.98,-14.7,0,33.4,80
276,0.57,-8.5,0,41.1,80
277,0.37,-5.5,0,19.7,80
278,0.21,-3.2,0,15.6,80
279,0.15,-2.3,0,6.1,80
280,0.06,-0.9,0,9.3,80
281,0.01,-0.1,0,5.4,50
282,0.07,-1.1,0,-6.9,-80
283,0.56,-8.4,0,-48.8,-80
284,0.99,-14.9,0,-42.9,-80
285,1.27,-19,0,-27.5,-80
286,1.52,-22.8,0,-25.4,-80
287,1.74,-26.1,0,-22.2,-80
288,1.7,-25.5,0,4,-80
289,1.73,-26,0,-3.1,-50
290,1.52,-22.8,0,21.2,-50
291,1.18,-17.8,0,33.6,80
292,0.73,-11,0,45.1,80
293,0.37,-5.6,0,35.9,80
294,0.13,-2,0,24.3,80
295,0.05,-0.7,0,8.5,80
296,0,-0,0,4.3,80
297,-0.05,0.8,0,5.5,80
298,-0.48,7.2,0,42.4,50
299,-0.9,13.5,0,42.4,55
300,-0.47,7,0,-43.5,-80
301,0.11,-1.7,0,-57.9,-80
302,0.65,-9.7,0,-53.3,-80
303,1.15,-17.2,0,-50.2,-80
304,1.55,-23.2,0,-40.1,-80
305,2.16,-32.3,0,-60.6,-92
306,2.27,-34.1,0,-11.6,-80
307,2.25,-33.7,0,2.3,-80
308,2.4,-36,0,-15,-80
309,2.28,-34.3,0,11.3,-80
310,1.91,-28.7,0,37.2,80
311,1.65,-24.8,0,26.2,80
312,1.31,-19.6,0,34.1,80
313,1.09,-16.3,0,22,80
314,0.91,-13.6,0,18.1,80
315,0.72,-10.8,0,18.8,80
316,0.56,-8.4,0,15.8,80
317,0.53,-8,0,2.8,-80
318,0.85,-12.8,0,-32,-80
319,1.2,-17.9,0,-34.2,-80
320,1.53,-22.9,0,-33,-80
321,1.74,-26.1,0,-21.4,-80
322,1.9,-28.4,0,-15.6,-80
323,1.95,-29.3,0,-5.9,-80
324,1.64,-24.6,0,31.5,80
325,1.29,-19.4,0,34.5,80
326,0.88,-13.3,0,41.1,80
